127.0.0.1 - - [11/Jul/2013:07:19:39 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:15:18 -0400] "GET /WebServiceProjectClient/sampleSOAPClientProxy/TestClient.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:15:18 -0400] "GET /WebServiceProjectClient/sampleSOAPClientProxy/Method.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:15:19 -0400] "GET /WebServiceProjectClient/sampleSOAPClientProxy/Input.jsp?method=31 HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:15:20 -0400] "GET /WebServiceProjectClient/sampleSOAPClientProxy/Result.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:15:20 -0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:15:20 -0400] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [11/Jul/2013:08:16:55 -0400] "POST /WebServiceProject/services/SOAPClient HTTP/1.0" 200 735
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:16:55 -0400] "POST /WebServiceProjectClient/sampleSOAPClientProxy/Result.jsp HTTP/1.1" 200 476
127.0.0.1 - - [11/Jul/2013:08:18:10 -0400] "POST /WebServiceProject/services/SOAPClient HTTP/1.0" 200 4500
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:18:10 -0400] "POST /WebServiceProjectClient/sampleSOAPClientProxy/Result.jsp HTTP/1.1" 200 4241
127.0.0.1 - - [11/Jul/2013:08:19:32 -0400] "POST /WebServiceProject/services/SOAPClient HTTP/1.0" 200 7604
0:0:0:0:0:0:0:1 - - [11/Jul/2013:08:19:32 -0400] "POST /WebServiceProjectClient/sampleSOAPClientProxy/Result.jsp HTTP/1.1" 200 7345
127.0.0.1 - - [11/Jul/2013:11:43:50 -0400] "POST /WebServiceProject/services/SOAPClient HTTP/1.0" 200 6906
0:0:0:0:0:0:0:1 - - [11/Jul/2013:11:43:50 -0400] "POST /WebServiceProjectClient/sampleSOAPClientProxy/Result.jsp HTTP/1.1" 200 6647
